number,title,classification,timestamp
637,Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,Class A,2000-06-16T12:00:00Z
2917,Report 2917: Family observes large biped from car,Class A,1995-05-15T12:00:00Z
7963,Report 7963: Sasquatch walks past window of house at night,Class A,2004-02-09T12:00:00Z
9317,"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border",Class A,2004-06-18T12:00:00Z
13038,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",Class A,2004-02-15T12:00:00Z
23666,Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,Class A,2008-04-23T12:00:00Z
26604,Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,Class A,2009-07-15T12:00:00Z
179,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",Class A,1981-09-15T12:00:00Z
245,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",Class A,1999-07-15T12:00:00Z
416,Report 416: A resident's early evening sighting next to his home near New Market,Class A,1983-11-15T12:00:00Z
435,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,Class A,2000-10-10T12:00:00Z
451,Report 451: Young man has sighting near home,Class A,1993-08-20T12:00:00Z
577,Report 577: Man has repeated visits at family farm,Class A,1999-11-15T12:00:00Z
799,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",Class A,1978-04-15T12:00:00Z
832,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",Class A,1980-11-15T12:00:00Z
961,"Report 961: Motorist confronted by hairy, man-like creature on roadside",Class A,1997-01-06T12:00:00Z
1022,Report 1022: Hunters observe creature walking in the woods,Class A,1990-09-15T12:00:00Z
1907,"Report 1907: Motorist sees Bigfoot like creature, hears scream",Class A,1996-12-05T12:00:00Z
3028,Report 3028: Daylight sighting by lady while her husband was clearing trees,Class A,2000-06-01T12:00:00Z
3296,Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights,Class A,2001-10-15T12:00:00Z
4743,Report 4743: Nighttime sighting by two teens in southern Conecuh County,Class A,2000-02-10T12:00:00Z
5954,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,Class A,2007-09-01T12:00:00Z
6938,Report 6938: Tracks and feces found in freshly turned field,Class A,2003-08-30T12:00:00Z
7031,Report 7031: Lady sees large hairy creature on the side of the road,Class A,2003-06-28T12:00:00Z
7235,Report 7235: Recollection of an afternoon sighting on Green Mountain,Class A,2004-05-28T12:00:00Z
7427,Report 7427: Four youths have harrowing experience in Alabama backwoods.,Class A,2003-11-26T12:00:00Z
8171,Report 8171: Nighttime Sighting on County Road,Class A,2004-05-09T12:00:00Z
